id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
197797964,0.03222100,17.04900000,0.54933582,1603171580682,True,True
197797965,0.03222100,1.52400000,0.04910480,1603171580745,True,True
197797966,0.03222100,5.22700000,0.16841916,1603171580843,True,True
197797967,0.03222100,15.01900000,0.48392719,1603171580957,True,True
197797968,0.03222100,1.04600000,0.03370316,1603171581254,True,True
197797969,0.03222200,0.00800000,0.00025777,1603171581942,False,True
197797970,0.03222200,0.10000000,0.00322220,1603171583663,False,True
197797971,0.03222200,0.06800000,0.00219109,1603171584424,False,True
197797972,0.03222200,0.04100000,0.00132110,1603171587343,False,True
197797973,0.03222000,0.00400000,0.00012888,1603171587778,True,True
197797974,0.03222000,0.30500000,0.00982710,1603171587778,True,True
197797975,0.03222100,0.11800000,0.00380207,1603171589442,False,True
197797976,0.03222200,0.95900000,0.03090089,1603171589850,False,True
197797977,0.03222300,1.12000000,0.03608976,1603171590190,False,True
197797978,0.03222200,0.11200000,0.00360886,1603171590248,True,True
197797979,0.03222200,0.14300000,0.00460774,1603171591999,True,True
197797980,0.03222200,3.11300000,0.10030708,1603171594520,True,True
197797981,0.03222300,3.60000000,0.11600280,1603171595437,False,True
197797982,0.03222200,0.15000000,0.00483330,1603171608968,True,True
197797983,0.03222300,0.01000000,0.00032223,1603171611554,False,True
197797984,0.03222900,0.65500000,0.02110999,1603171611902,False,True
197797985,0.03222900,0.11200000,0.00360964,1603171612001,False,True
197797986,0.03223100,1.00000000,0.03223100,1603171612327,False,True
197797987,0.03223100,2.20500000,0.07106935,1603171612425,False,True
197797988,0.03223100,0.01800000,0.00058015,1603171613952,False,True
197797989,0.03223000,7.74600000,0.24965358,1603171614352,False,True
197797990,0.03223100,2.87200000,0.09256743,1603171614998,False,True
197797991,0.03223100,2.05500000,0.06623470,1603171616483,False,True
197797992,0.03222900,1.33500000,0.04302571,1603171623254,True,True
197797993,0.03223100,0.37400000,0.01205439,1603171624904,False,True
197797994,0.03223100,0.15500000,0.00499580,1603171624906,False,True
197797995,0.03223100,0.54500000,0.01756589,1603171624908,False,True
197797996,0.03223100,0.26100000,0.00841229,1603171624909,False,True
197797997,0.03223200,4.62800000,0.14916969,1603171624964,False,True
197797998,0.03223200,0.31000000,0.00999192,1603171625366,False,True
197797999,0.03223200,0.65000000,0.02095080,1603171625691,False,True
197798000,0.03223200,0.62000000,0.01998384,1603171625833,False,True
197798001,0.03223200,0.41600000,0.01340851,1603171626723,False,True
197798002,0.03223200,0.37700000,0.01215146,1603171628096,False,True
197798003,0.03223200,0.63300000,0.02040285,1603171628298,False,True
197798004,0.03223200,16.34500000,0.52683204,1603171629013,False,True
197798005,0.03223200,12.54000000,0.40418928,1603171629116,False,True
197798006,0.03223200,3.48100000,0.11219959,1603171629237,False,True
197798007,0.03223200,0.01000000,0.00032232,1603171629237,False,True
197798008,0.03222700,0.20700000,0.00667098,1603171636419,True,True
197798009,0.03222800,0.07800000,0.00251378,1603171639145,False,True
197798010,0.03222800,0.16900000,0.00544653,1603171640778,False,True
197798011,0.03222700,0.36800000,0.01185953,1603171641351,True,True
197798012,0.03222800,7.38000000,0.23784264,1603171645390,False,True
197798013,0.03222800,2.87300000,0.09259104,1603171645483,False,True
197798014,0.03222800,0.02600000,0.00083792,1603171650188,False,True
197798015,0.03222900,0.89600000,0.02887718,1603171663073,False,True
197798016,0.03222900,0.51200000,0.01650124,1603171667507,False,True
197798017,0.03222900,0.09500000,0.00306175,1603171667817,False,True
197798018,0.03222800,0.02600000,0.00083792,1603171676817,True,True
197798019,0.03222800,0.93500000,0.03013318,1603171676817,True,True
197798020,0.03223000,2.16400000,0.06974572,1603171677787,False,True
197798021,0.03223000,0.37100000,0.01195733,1603171678506,False,True
197798022,0.03223000,2.95300000,0.09517519,1603171678718,False,True
197798023,0.03222900,0.25600000,0.00825062,1603171684603,False,True
197798024,0.03222900,0.35200000,0.01134460,1603171684608,False,True
197798025,0.03222900,0.27200000,0.00876628,1603171684608,False,True
197798026,0.03222900,0.12000000,0.00386748,1603171684608,False,True
197798027,0.03223100,9.03800000,0.29130377,1603171684666,False,True
197798028,0.03223100,4.17300000,0.13449996,1603171684702,False,True
197798029,0.03223100,0.00800000,0.00025784,1603171684702,False,True
197798030,0.03223600,0.05900000,0.00190192,1603171687270,True,True
197798031,0.03223000,4.11500000,0.13262645,1603171690925,True,True
197798032,0.03223000,0.55300000,0.01782319,1603171690925,True,True
197798033,0.03222900,0.21400000,0.00689700,1603171690925,True,True
197798034,0.03222900,1.98900000,0.06410348,1603171690925,True,True
197798035,0.03223100,0.04700000,0.00151485,1603171691065,False,True
197798036,0.03223000,7.10500000,0.22899415,1603171694918,False,True
197798037,0.03223000,0.93000000,0.02997390,1603171697652,False,True
197798038,0.03223000,0.17500000,0.00564025,1603171698262,False,True
197798039,0.03223000,15.18800000,0.48950924,1603171703272,False,True
197798040,0.03223000,0.60200000,0.01940246,1603171703846,False,True
